station_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
7,2008,7,5,71,71,70,70,70,70,70,71,72,74,73,76,77,79,81,81,81,81,78,75,73,73,73,71
7,2008,7,6,71,70,70,70,70,70,70,71,72,74,74,76,77,79,81,82,83,82,80,78,77,75,73,72
7,2008,7,7,75,70,70,70,70,71,72,71,74,76,77,78,79,81,83,85,86,84,83,81,76,74,72,73
8,2008,6,30,,,,,,,71,71,73,77,80,83,86,86,88,87,87,86,84,80,77,74,73,72
8,2008,7,1,71,69,68,66,66,65,66,70,73,76,78,79,81,82,82,84,83,82,81,78,73,69,66,64
8,2008,7,2,62,61,62,60,60,61,63,70,73,79,81,82,84,85,87,87,87,87,84,81,74,71,70,64
8,2008,7,3,62,60,60,64,63,63,65,72,78,81,85,89,90,90,92,91,91,91,90,86,80,78,76,75
8,2008,7,4,74,73,73,72,71,71,71,74,80,82,88,92,93,93,95,95,91,84,78,76,73,72,73,73
8,2008,7,5,72,72,72,70,70,70,70,72,73,74,75,76,78,80,82,82,82,77,72,71,70,69,70,70
8,2008,7,6,70,70,70,70,70,70,70,71,72,73,74,78,79,81,84,84,85,85,83,81,79,78,73,71
8,2008,7,7,72,71,70,70,70,70,70,72,73,75,77,81,82,82,84,88,86,88,84,82,79,74,73,72
9,2008,6,30,,,,,,,68,71,76,79,79,81,84,84,83,85,85,83,81,74,71,70,69,66
9,2008,7,1,64,62,62,62,60,60,63,67,71,73,76,75,77,75,78,78,78,77,76,75,72,67,65,65
9,2008,7,2,64,64,63,63,62,62,63,70,73,77,80,81,82,83,85,86,87,87,85,82,74,70,67,66
9,2008,7,3,65,64,62,62,62,61,64,67,73,79,84,87,89,89,91,92,92,90,89,83,81,74,74,72
9,2008,7,4,72,72,72,72,71,70,70,73,75,78,81,85,86,85,87,85,81,73,74,72,72,71,71,70
9,2008,7,5,70,70,70,70,69,70,70,70,72,73,75,78,79,82,83,81,81,81,75,75,74,73,73,72
9,2008,7,6,70,70,70,70,70,70,70,71,72,73,73,74,75,78,80,81,82,81,78,77,75,72,71,71
9,2008,7,7,72,70,69,70,70,69,70,70,73,74,77,77,80,81,81,85,85,85,80,75,71,69,70,71
10,2008,6,30,,,,,,,70,71,74,79,81,82,85,85,84,84,84,84,81,76,73,72,70,68
10,2008,7,1,67,65,64,63,63,61,64,68,72,74,75,77,79,79,80,81,79,79,78,76,71,68,64,62
10,2008,7,2,60,60,59,58,57,57,59,66,71,78,80,82,83,84,86,87,87,86,85,80,72,69,67,65
10,2008,7,3,63,63,60,61,60,60,63,70,76,79,83,87,89,90,90,90,90,89,88,83,78,73,71,71
10,2008,7,4,69,69,69,70,70,69,70,73,78,81,86,89,91,92,90,87,84,84,81,78,76,77,73,73
10,2008,7,5,73,72,72,71,71,70,71,71,72,74,75,76,79,80,81,80,78,78,77,76,74,73,73,72
10,2008,7,6,72,71,71,71,71,71,71,71,72,73,74,77,80,83,83,84,83,83,82,80,76,74,72,71
10,2008,7,7,72,71,71,70,71,71,71,72,74,76,77,81,83,84,85,87,87,82,75,74,72,70,69,69
11,2008,6,30,,,,,,,64,68,70,71,75,77,74,78,74,76,77,75,72,69,68,65,63,61
11,2008,7,1,59,58,59,56,56,57,58,60,63,65,68,69,68,70,70,72,72,70,70,69,65,64,62,60
11,2008,7,2,57,55,55,53,52,51,53,59,64,69,74,77,79,80,81,82,82,82,81,79,73,69,66,64
11,2008,7,3,61,60,58,58,56,55,57,63,71,78,80,82,84,86,86,88,87,86,83,80,74,72,72,72
11,2008,7,4,71,69,69,67,66,66,67,70,73,76,77,79,79,79,78,77,76,75,75,70,69,69,68,66
11,2008,7,5,66,65,67,65,65,65,65,67,69,71,74,78,79,79,81,80,75,74,73,72,71,69,69,69
11,2008,7,6,69,68,68,67,67,66,67,67,69,69,71,73,75,77,79,78,80,72,68,68,67,67,66,65
11,2008,7,7,65,66,64,65,63,64,63,65,65,70,76,80,80,82,81,79,71,72,69,69,68,67,67,66
